sample_ratio,class_weight,resample_strat,depth,classifier,f1,sub_sample_ratio,ins_sample_ratio
,0,upsample,9,tree,0.4856793864201132,0.07071067811865475,0.1414213562373095
,0,upsample,5,tree,0.52889640789689,0.07071067811865475,0.20000000000000004
,0,upsample,6,tree,0.48391314229431653,0.07071067811865475,0.20000000000000004
,0,upsample,7,tree,0.4924902498737491,0.07071067811865475,0.20000000000000004
,0,upsample,8,tree,0.48197381586300764,0.07071067811865475,0.20000000000000004
,0,upsample,9,tree,0.4852941908220046,0.07071067811865475,0.20000000000000004
,0,upsample,5,tree,0.4364336088059046,0.1,0.049999999999999996
,0,upsample,6,tree,0.42364102957446076,0.1,0.049999999999999996
,0,upsample,7,tree,0.49283974261839375,0.1,0.049999999999999996
,0,upsample,8,tree,0.4228095813051885,0.1,0.049999999999999996
,0,upsample,9,tree,0.4358260273949679,0.1,0.049999999999999996
,0,upsample,5,tree,0.436134885385074,0.1,0.07071067811865475
,0,upsample,6,tree,0.49003395427646873,0.1,0.07071067811865475
,0,upsample,7,tree,0.43054204473822155,0.1,0.07071067811865475
,0,upsample,8,tree,0.42107924599832786,0.1,0.07071067811865475
,0,upsample,9,tree,0.45279293610370974,0.1,0.07071067811865475
,0,upsample,5,tree,0.4214330453008541,0.1,0.1
,0,upsample,6,tree,0.4737664028822863,0.1,0.1
,0,upsample,7,tree,0.4773158195752207,0.1,0.1
,0,upsample,8,tree,0.5162091050511738,0.1,0.1
,0,upsample,9,tree,0.47417044046827767,0.1,0.1
,0,upsample,5,tree,0.48045667244069284,0.1,0.1414213562373095
,0,upsample,6,tree,0.4991384446926423,0.1,0.1414213562373095
,0,upsample,7,tree,0.5025770073293371,0.1,0.1414213562373095
,0,upsample,8,tree,0.4781878168279145,0.1,0.1414213562373095
,0,upsample,9,tree,0.47143519093579545,0.1,0.1414213562373095
,0,upsample,5,tree,0.5370502433903694,0.1,0.20000000000000004
,0,upsample,6,tree,0.4939610645462759,0.1,0.20000000000000004
,0,upsample,7,tree,0.49184281771978017,0.1,0.20000000000000004
,0,upsample,8,tree,0.4926512526203501,0.1,0.20000000000000004
,0,upsample,9,tree,0.48510808189880145,0.1,0.20000000000000004
,0,upsample,5,tree,0.49878927077802243,0.1414213562373095,0.049999999999999996
,0,upsample,6,tree,0.4141875351682476,0.1414213562373095,0.049999999999999996
,0,upsample,7,tree,0.480996459489029,0.1414213562373095,0.049999999999999996
